id,text,tokens,tags,is_cs,en_count,tr_count,en_ratio,token_count,group,berturk_label,berturk_score,xlmr_label,xlmr_score
0.0,o kadar strong bir presence var ki,"['o', 'kadar', 'strong', 'bir', 'presence', 'var', 'ki']","['T', 'T', 'E', 'T', 'E', 'T', 'T']",True,2,5.0,0.286,7.0,code_switched,negative,0.9802005290985107,positive,0.6779512166976929
1.0,yarın bir status yapıp işlerin üstünden geçelim,"['yarın', 'bir', 'status', 'yapıp', 'işlerin', 'üstünden', 'geçelim']","['T', 'T', 'E', 'T', 'T', 'T', 'T']",True,1,6.0,0.143,7.0,code_switched,positive,0.8128259778022766,neutral,0.6006564497947693
2.0,ben dataları sort ettim. e peki nedir bu işin process'i? schedule ettik biz.. sizi briefing room'da bekliyor olacağım. e onu yapıyor olman lazım zaten?,"['ben', 'dataları', 'sort', 'ettim', 'peki', 'nedir', 'bu', 'işin', ""process'i"", 'schedule', 'ettik', 'biz', 'sizi', 'briefing', ""room'da"", 'bekliyor', 'olacağım', 'onu', 'yapıyor', 'olman', 'lazım', 'zaten']","['T', 'E', 'E', 'T', 'T', 'T', 'T', 'T', 'E', 'E', 'T', 'T', 'T', 'E', 'E', 'T', 'T', 'T', 'T', 'T', 'T', 'T']",True,6,16.0,0.273,22.0,code_switched,positive,0.9980917572975159,neutral,0.6624848246574402
3.0,call to action'lar çok önemli.,"['call', 'to', ""action'lar"", 'çok', 'önemli']","['E', 'E', 'E', 'T', 'T']",True,3,2.0,0.6,5.0,code_switched,positive,0.9912221431732178,neutral,0.6853638291358948
4.0,ben rain'ince umbrella alıp altında hide yapcam.,"['ben', ""rain'ince"", 'umbrella', 'alıp', 'altında', 'hide', 'yapcam']","['T', 'E', 'E', 'T', 'T', 'E', 'T']",True,3,4.0,0.429,7.0,code_switched,negative,0.618132472038269,neutral,0.5448933243751526
5.0,"progress yavaş ilerliyor, birbirinizi boost edin","['progress', 'yavaş', 'ilerliyor', 'birbirinizi', 'boost', 'edin']","['E', 'T', 'T', 'T', 'E', 'T']",True,2,4.0,0.333,6.0,code_switched,negative,0.9972080588340759,positive,0.6778387427330017
6.0,burada alert durumdayız.,"['burada', 'alert', 'durumdayız']","['T', 'E', 'T']",True,1,2.0,0.333,3.0,code_switched,positive,0.8024778366088867,neutral,0.694000244140625
7.0,şu malları bulk halinde göndermemiz lazım.,"['şu', 'malları', 'bulk', 'halinde', 'göndermemiz', 'lazım']","['T', 'T', 'E', 'T', 'T', 'T']",True,1,5.0,0.167,6.0,code_switched,negative,0.9613723158836365,negative,0.650621235370636
8.0,bugün toplantıda on site olamayacağım.,"['bugün', 'toplantıda', 'on', 'site', 'olamayacağım']","['T', 'T', 'E', 'E', 'T']",True,2,3.0,0.4,5.0,code_switched,negative,0.9897487759590149,negative,0.7517309188842773
9.0,dip not koyuyor bi de kademsizler lafın arasına but it's optional diye.,"['dip', 'not', 'koyuyor', 'bi', 'de', 'kademsizler', 'lafın', 'arasına', 'but', ""it's"", 'optional', 'diye']","['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'E', 'E', 'E', 'T']",True,3,9.0,0.25,12.0,code_switched,positive,0.9904041290283203,negative,0.4330213963985443
10.0,"gerçekten neyi ispatlamak istediklerini anlamıyorum, kendilerini ortama mı 'adjust' ediyorlar n'apıyorlarsa artık ?","['gerçekten', 'neyi', 'ispatlamak', 'istediklerini', 'anlamıyorum', 'kendilerini', 'ortama', 'mı', 'adjust', 'ediyorlar', ""n'apıyorlarsa"", 'artık']","['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'E', 'T', 'T', 'T']",True,1,11.0,0.083,12.0,code_switched,negative,0.97392737865448,negative,0.8925355672836304
